Move Name,Move Type,Move Class,Pokemon Name,Pokemon Type,Pokemon Type2
Acid,Poison,Fast,Accelgor,Bug,
Acid,Poison,Fast,Arbok,Poison,
Acid,Poison,Fast,Arbok Normal,Poison,
Acid,Poison,Fast,Arbok Purified,Poison,
Acid,Poison,Fast,Arbok Shadow,Poison,
Acid,Poison,Fast,Bellossom,Grass,
Acid,Poison,Fast,Bellossom Normal,Grass,
Acid,Poison,Fast,Bellossom Purified,Grass,
Acid,Poison,Fast,Bellossom Shadow,Grass,
Acid,Poison,Fast,Bellsprout,Grass,Poison
Acid,Poison,Fast,Bellsprout Normal,Grass,Poison
Acid,Poison,Fast,Bellsprout Purified,Grass,Poison
Acid,Poison,Fast,Bellsprout Shadow,Grass,Poison
Acid,Poison,Fast,Cradily,Rock,Grass
Acid,Poison,Fast,Eelektrik,Electric,
Acid,Poison,Fast,Eelektross,Electric,
Acid,Poison,Fast,Ekans,Poison,
Acid,Poison,Fast,Ekans Normal,Poison,
Acid,Poison,Fast,Ekans Purified,Poison,
Acid,Poison,Fast,Ekans Shadow,Poison,
Acid,Poison,Fast,Gloom,Grass,Poison
Acid,Poison,Fast,Gloom Normal,Grass,Poison
Acid,Poison,Fast,Gloom Purified,Grass,Poison
Acid,Poison,Fast,Gloom Shadow,Grass,Poison
Acid,Poison,Fast,Lileep,Rock,Grass
Acid,Poison,Fast,Oddish,Grass,Poison
Acid,Poison,Fast,Oddish Normal,Grass,Poison
Acid,Poison,Fast,Oddish Purified,Grass,Poison
Acid,Poison,Fast,Oddish Shadow,Grass,Poison
Acid,Poison,Fast,Shelmet,Bug,
Acid,Poison,Fast,Tentacruel,Water,Poison
Acid,Poison,Fast,Victreebel,Grass,Poison
Acid,Poison,Fast,Victreebel Normal,Grass,Poison
Acid,Poison,Fast,Victreebel Purified,Grass,Poison
Acid,Poison,Fast,Victreebel Shadow,Grass,Poison
Acid,Poison,Fast,Vileplume,Grass,Poison
Acid,Poison,Fast,Vileplume Normal,Grass,Poison
Acid,Poison,Fast,Vileplume Purified,Grass,Poison
Acid,Poison,Fast,Vileplume Shadow,Grass,Poison
Acid,Poison,Fast,Weepinbell,Grass,Poison
Acid,Poison,Fast,Weepinbell Normal,Grass,Poison
Acid,Poison,Fast,Weepinbell Purified,Grass,Poison
Acid,Poison,Fast,Weepinbell Shadow,Grass,Poison
